id,date,commodity,unit,min,max,avg
150,2026-01-02,जुनार,के.जी.,100.0,120.0,110.0
151,2026-01-02,टाटे सिमी,के.जी.,60.0,70.0,65.0
152,2026-01-02,तरबुजा(हरियो),के.जी.,90.0,100.0,95.0
153,2026-01-02,तरुल,के.जी.,60.0,70.0,65.0
154,2026-01-02,ताजा माछा(छडी),के जी,230.0,250.0,240.0
155,2026-01-02,ताजा माछा(बचुवा),के जी,260.0,280.0,270.0
156,2026-01-02,ताजा माछा(रहु),के जी,320.0,340.0,330.0
157,2026-01-02,तामा,के.जी.,110.0,120.0,115.0
158,2026-01-02,तितो करेला,के.जी.,100.0,110.0,105.0
159,2026-01-02,तोफु,के.जी.,130.0,150.0,140.0
160,2026-01-02,तोरीको साग,के.जी.,40.0,50.0,45.0
161,2026-01-02,नासपाती(चाइनिज),केजी,200.0,230.0,215.0
162,2026-01-02,निबुवा,के.जी.,60.0,70.0,65.0
163,2026-01-02,परवर(तराई),केजी,145.0,160.0,153.75
164,2026-01-02,पार्सले,के.जी.,600.0,700.0,650.0
165,2026-01-02,पालूगो साग,के.जी.,60.0,70.0,65.0
166,2026-01-02,पिंडालू,के.जी.,70.0,90.0,78.75
167,2026-01-02,पुदीना,के.जी.,400.0,500.0,450.0
168,2026-01-02,प्याज सुकेको (भारतीय),के.जी.,50.0,55.0,52.5
169,2026-01-02,प्याज हरियो,के.जी.,35.0,60.0,43.57
170,2026-01-02,फर्सी पाकेको,के.जी.,30.0,40.0,35.0
171,2026-01-02,फर्सी हरियो(लाम्चो),के.जी.,35.0,40.0,37.5
172,2026-01-02,बकूला,के.जी.,80.0,110.0,95.0
173,2026-01-02,बन्दा(तराई),केजी,25.0,35.0,30.0
174,2026-01-02,बन्दा(नरिवल),केजी,30.0,40.0,36.67
175,2026-01-02,बन्दा(लोकल),के.जी.,35.0,45.0,40.0
176,2026-01-02,बरेला,के.जी.,40.0,60.0,50.0
177,2026-01-02,ब्रोकाउली,के.जी.,80.0,120.0,97.5
178,2026-01-02,भन्टा डल्लो,के.जी.,50.0,70.0,60.0
179,2026-01-02,भन्टा लाम्चो,के.जी.,50.0,60.0,55.0
180,2026-01-02,भिण्डी,के.जी.,100.0,110.0,105.0
